human_gene_name,human_gene_acc,nmr_gene_name,nmr_gene_acc,perc_id,orthology_type,human_name_rep,nmr_name_rep,human_chr,nmr_chr
ABHD10,ENSG00000144827,ABHD10,ENSHGLG00000012170,62.0915,ortholog_one2one,1.0,1.0,3,2
ABHD11,ENSG00000106077,ABHD11,ENSHGLG00000043301,60.3448,ortholog_one2one,1.0,1.0,7,1
ABHD12,ENSG00000100997,ABHD12,ENSHGLG00000035916,87.013,ortholog_one2one,1.0,1.0,20,15
ABHD12B,ENSG00000131969,ABHD12B,ENSHGLG00000017092,78.273,ortholog_one2one,1.0,1.0,14,2
ABHD14A,ENSG00000248487,ABHD14A,ENSHGLG00000012344,82.2878,ortholog_one2one,1.0,1.0,3,8
ABHD14B,ENSG00000114779,ABHD14B,ENSHGLG00000012174,89.0476,ortholog_one2one,1.0,1.0,3,8
ABHD15,ENSG00000168792,ABHD15,ENSHGLG00000013213,90.9091,ortholog_one2one,1.0,1.0,17,20
ABHD16A,ENSG00000204427,ABHD16A,ENSHGLG00000011099,88.7097,ortholog_one2one,7.0,1.0,6,OX090908.1
ABHD17A,ENSG00000129968,ABHD17A,ENSHGLG00000047885,93.871,ortholog_one2one,1.0,1.0,19,29
ABHD17B,ENSG00000107362,ABHD17B,ENSHGLG00000032723,99.6528,ortholog_one2one,1.0,1.0,9,12
ABHD18,ENSG00000164074,ABHD18,ENSHGLG00000039184,93.7778,ortholog_one2one,1.0,1.0,4,3
ABHD2,ENSG00000140526,ABHD2,ENSHGLG00000032057,97.0,ortholog_one2one,1.0,1.0,15,15
ABHD3,ENSG00000158201,ABHD3,ENSHGLG00000004626,92.176,ortholog_one2one,1.0,1.0,18,18
ABHD4,ENSG00000100439,ABHD4,ENSHGLG00000008034,96.4912,ortholog_one2one,1.0,1.0,14,2
ABHD5,ENSG00000011198,ABHD5,ENSHGLG00000017002,87.6791,ortholog_one2one,1.0,1.0,3,8
ABHD6,ENSG00000163686,ABHD6,ENSHGLG00000043839,94.6588,ortholog_one2one,1.0,1.0,3,9
ABI2,ENSG00000138443,ABI2,ENSHGLG00000007481,98.5213,ortholog_one2one,1.0,1.0,2,25
ABI3,ENSG00000108798,ABI3,ENSHGLG00000012283,78.5311,ortholog_one2one,1.0,1.0,17,20
ABI3BP,ENSG00000154175,ABI3BP,ENSHGLG00000002717,80.367,ortholog_one2one,1.0,1.0,3,2
ABITRAM,ENSG00000119328,ABITRAM,ENSHGLG00000032426,85.5491,ortholog_one2one,1.0,1.0,9,12
ABL1,ENSG00000097007,ABL1,ENSHGLG00000011775,90.7801,ortholog_one2one,1.0,1.0,9,12
ABL2,ENSG00000143322,ABL2,ENSHGLG00000005810,92.0474,ortholog_one2one,1.0,1.0,1,24
ABLIM1,ENSG00000099204,ABLIM1,ENSHGLG00000016437,93.0591,ortholog_one2one,1.0,1.0,10,13
ABLIM2,ENSG00000163995,ABLIM2,ENSHGLG00000014370,89.6124,ortholog_one2one,1.0,1.0,4,10
ABLIM3,ENSG00000173210,ABLIM3,ENSHGLG00000012245,98.0966,ortholog_one2one,1.0,1.0,5,6
ABR,ENSG00000159842,ABR,ENSHGLG00000010021,95.2497,ortholog_one2one,3.0,1.0,17,20
ABRA,ENSG00000174429,ABRA,ENSHGLG00000015448,66.8435,ortholog_one2one,1.0,1.0,8,21
ABT1,ENSG00000146109,ABT1,ENSHGLG00000003901,89.1791,ortholog_one2one,2.0,1.0,6,9
ABTB3,ENSG00000151136,ABTB3,ENSHGLG00000006089,94.1446,ortholog_one2one,1.0,1.0,12,17
ACAA2,ENSG00000167315,ACAA2,ENSHGLG00000008021,88.9169,ortholog_one2one,1.0,1.0,18,18
ACACA,ENSG00000278540,ACACA,ENSHGLG00000011781,97.0625,ortholog_one2one,2.0,1.0,17,20
ACACB,ENSG00000076555,ACACB,ENSHGLG00000012905,88.7428,ortholog_one2one,1.0,1.0,12,23
ACAD10,ENSG00000111271,ACAD10,ENSHGLG00000012632,82.4363,ortholog_one2one,1.0,1.0,12,23
ACAD11,ENSG00000240303,ACAD11,ENSHGLG00000012399,84.6154,ortholog_one2one,1.0,1.0,3,8
ACAD8,ENSG00000151498,ACAD8,ENSHGLG00000001428,87.9227,ortholog_one2one,1.0,1.0,11,5
ACADM,ENSG00000117054,ACADM,ENSHGLG00000007755,86.6983,ortholog_one2one,1.0,1.0,1,19
ACADS,ENSG00000122971,ACADS,ENSHGLG00000012611,91.9903,ortholog_one2one,1.0,1.0,12,23
ACADSB,ENSG00000196177,ACADSB,ENSHGLG00000016362,80.5556,ortholog_one2one,1.0,1.0,10,13
ACADVL,ENSG00000072778,ACADVL,ENSHGLG00000011018,84.7619,ortholog_one2one,1.0,1.0,17,20
ACAP2,ENSG00000114331,ACAP2,ENSHGLG00000012258,97.3008,ortholog_one2one,1.0,1.0,3,8
ACAT2,ENSG00000120437,SOAT2,ENSHGLG00000001722,86.398,ortholog_one2one,1.0,1.0,6,17
ACBD3,ENSG00000182827,ACBD3,ENSHGLG00000005012,94.2197,ortholog_one2one,1.0,1.0,1,OX090908.1
ACBD4,ENSG00000181513,ACBD4,ENSHGLG00000011655,66.8852,ortholog_one2one,1.0,1.0,17,20
ACBD6,ENSG00000230124,ACBD6,ENSHGLG00000044832,86.8794,ortholog_one2one,1.0,1.0,1,24
ACCS,ENSG00000110455,ACCS,ENSHGLG00000018000,71.267,ortholog_one2one,1.0,1.0,11,22
ACD,ENSG00000102977,ACD,ENSHGLG00000038146,71.8009,ortholog_one2one,1.0,1.0,16,7
ACE2,ENSG00000130234,ACE2,ENSHGLG00000000490,84.5963,ortholog_one2one,1.0,1.0,X,X
ACER2,ENSG00000177076,ACER2,ENSHGLG00000042194,73.8182,ortholog_one2one,1.0,1.0,9,12
ACER3,ENSG00000078124,ACER3,ENSHGLG00000010087,93.2584,ortholog_one2one,1.0,1.0,11,5
ACKR1,ENSG00000213088,ACKR1,ENSHGLG00000047411,69.6429,ortholog_one2one,1.0,1.0,1,28
ACKR2,ENSG00000144648,ACKR2,ENSHGLG00000021074,70.3125,ortholog_one2one,1.0,1.0,3,8
ACKR3,ENSG00000144476,ACKR3,ENSHGLG00000008401,92.8177,ortholog_one2one,1.0,1.0,2,25
ACKR4,ENSG00000129048,ACKR4,ENSHGLG00000012687,89.1429,ortholog_one2one,1.0,1.0,3,8
ACLY,ENSG00000131473,ACLY,ENSHGLG00000014233,85.0136,ortholog_one2one,1.0,1.0,17,20
ACMSD,ENSG00000153086,ACMSD,ENSHGLG00000009833,88.3929,ortholog_one2one,1.0,1.0,2,3
ACO1,ENSG00000122729,Aco1,ENSHGLG00000018922,94.4882,ortholog_one2one,1.0,1.0,9,12
ACO2,ENSG00000100412,Aco2,ENSHGLG00000015463,96.1538,ortholog_one2one,1.0,1.0,22,5
ACOD1,ENSG00000102794,ACOD1,ENSHGLG00000045158,78.9809,ortholog_one2one,1.0,1.0,13,11
ACOT11,ENSG00000162390,ACOT11,ENSHGLG00000001977,89.3939,ortholog_one2one,1.0,1.0,1,7
ACOT12,ENSG00000172497,ACOT12,ENSHGLG00000006134,75.8123,ortholog_one2one,1.0,1.0,5,OX090908.1
ACOT6,ENSG00000205669,ACOT6,ENSHGLG00000040633,78.3848,ortholog_one2one,1.0,1.0,14,26
ACOT7,ENSG00000097021,ACOT7,ENSHGLG00000009002,85.4054,ortholog_one2one,1.0,1.0,1,7
ACOT8,ENSG00000101473,ACOT8,ENSHGLG00000011034,57.0533,ortholog_one2one,1.0,1.0,20,15
ACOX1,ENSG00000161533,ACOX1,ENSHGLG00000005696,88.9394,ortholog_one2one,1.0,1.0,17,20
ACOX2,ENSG00000168306,ACOX2,ENSHGLG00000003614,71.7666,ortholog_one2one,1.0,1.0,3,9
ACOX3,ENSG00000087008,ACOX3,ENSHGLG00000014645,73.0,ortholog_one2one,1.0,1.0,4,10
ACP3,ENSG00000014257,ACPP,ENSHGLG00000050834,81.6062,ortholog_one2one,1.0,1.0,3,8
ACP7,ENSG00000183760,ACP7,ENSHGLG00000017298,89.3764,ortholog_one2one,1.0,1.0,19,28
ACRBP,ENSG00000111644,ACRBP,ENSHGLG00000003358,70.4365,ortholog_one2one,1.0,1.0,12,5
ACSBG1,ENSG00000103740,ACSBG1,ENSHGLG00000000587,86.1878,ortholog_one2one,1.0,1.0,15,OX090908.1
ACSF2,ENSG00000167107,ACSF2,ENSHGLG00000011512,78.8618,ortholog_one2one,1.0,1.0,17,20
ACSL1,ENSG00000151726,ACSL1,ENSHGLG00000003274,89.3983,ortholog_one2one,1.0,1.0,4,6
ACSL4,ENSG00000068366,ACSL4,ENSHGLG00000001398,98.3582,ortholog_one2one,1.0,1.0,X,X
ACSL5,ENSG00000197142,ACSL5,ENSHGLG00000010820,81.9912,ortholog_one2one,1.0,1.0,10,13
ACSL6,ENSG00000164398,ACSL6,ENSHGLG00000016429,94.0443,ortholog_one2one,1.0,1.0,5,4
ACSM3,ENSG00000005187,ACSM3,ENSHGLG00000011333,85.812,ortholog_one2one,1.0,1.0,16,23
ACSM5,ENSG00000183549,ACSM5,ENSHGLG00000010732,84.456,ortholog_one2one,1.0,1.0,16,23
ACSS2,ENSG00000131069,ACSS2,ENSHGLG00000013444,94.0086,ortholog_one2one,1.0,1.0,20,15
ACSS3,ENSG00000111058,ACSS3,ENSHGLG00000004579,92.5656,ortholog_one2one,1.0,1.0,12,17
ACTA1,ENSG00000143632,ACTA1,ENSHGLG00000006223,100.0,ortholog_one2one,1.0,1.0,1,9
ACTA2,ENSG00000107796,ACTA2,ENSHGLG00000002950,100.0,ortholog_one2one,1.0,1.0,10,13
ACTB,ENSG00000075624,ACTB,ENSHGLG00000009651,99.4667,ortholog_one2one,1.0,1.0,7,1
ACTBL2,ENSG00000169067,ACTBL2,ENSHGLG00000020239,97.8723,ortholog_one2one,1.0,1.0,5,16
ACTG1,ENSG00000184009,ACTG1,ENSHGLG00000009170,98.9333,ortholog_one2one,2.0,1.0,17,20
ACTG2,ENSG00000163017,ACTG2,ENSHGLG00000012685,100.0,ortholog_one2one,1.0,1.0,2,4
ACTL6A,ENSG00000136518,ACTL6A,ENSHGLG00000013350,99.3007,ortholog_one2one,1.0,1.0,3,8
ACTL6B,ENSG00000077080,ACTL6B,ENSHGLG00000014925,88.2629,ortholog_one2one,1.0,1.0,7,1
ACTL7A,ENSG00000187003,ACTL7A,ENSHGLG00000020244,83.4483,ortholog_one2one,1.0,1.0,9,12
ACTL7B,ENSG00000148156,ACTL7B,ENSHGLG00000020431,82.1687,ortholog_one2one,1.0,1.0,9,12
ACTL8,ENSG00000117148,ACTL8,ENSHGLG00000019089,63.1148,ortholog_one2one,1.0,1.0,1,7
ACTMAP,ENSG00000188493,ACTMAP,ENSHGLG00000005356,74.9288,ortholog_one2one,1.0,1.0,19,28
ACTN1,ENSG00000072110,ACTN1,ENSHGLG00000012556,96.7177,ortholog_one2one,1.0,1.0,14,26
ACTN2,ENSG00000077522,ACTN2,ENSHGLG00000009879,98.7421,ortholog_one2one,1.0,1.0,1,9
ACTN3,ENSG00000248746,ACTN3,ENSHGLG00000010459,95.8935,ortholog_one2one,1.0,1.0,11,22
ACTN4,ENSG00000130402,ACTN4,ENSHGLG00000008428,98.573,ortholog_one2one,2.0,1.0,19,28
ACTR10,ENSG00000131966,ACTR10,ENSHGLG00000002598,96.6427,ortholog_one2one,1.0,1.0,14,26
ACTR1A,ENSG00000138107,ACTR1A,ENSHGLG00000044976,99.734,ortholog_one2one,1.0,1.0,10,13
ACTR1B,ENSG00000115073,ACTR1B,ENSHGLG00000009168,98.1333,ortholog_one2one,2.0,1.0,2,4
ACTR5,ENSG00000101442,ACTR5,ENSHGLG00000012451,92.0398,ortholog_one2one,1.0,1.0,20,15
ACTR8,ENSG00000113812,ACTR8,ENSHGLG00000002016,98.5577,ortholog_one2one,1.0,1.0,3,9
ACTRT2,ENSG00000169717,ACTRT2,ENSHGLG00000021430,77.9255,ortholog_one2one,1.0,1.0,1,7
ACTRT3,ENSG00000184378,ACTRT3,ENSHGLG00000012802,77.957,ortholog_one2one,1.0,1.0,3,8
ACVR1,ENSG00000115170,ACVR1,ENSHGLG00000006379,98.6248,ortholog_one2one,1.0,1.0,2,3
ACVR1B,ENSG00000135503,ACVR1B,ENSHGLG00000015083,91.4851,ortholog_one2one,1.0,1.0,12,17
ACVR1C,ENSG00000123612,ACVR1C,ENSHGLG00000007777,94.274,ortholog_one2one,1.0,1.0,2,3
ACVR2A,ENSG00000121989,ACVR2A,ENSHGLG00000046847,99.2203,ortholog_one2one,1.0,1.0,2,3
ACVRL1,ENSG00000139567,ACVRL1,ENSHGLG00000017593,84.6918,ortholog_one2one,1.0,1.0,12,17
ACY1,ENSG00000243989,ACY1,ENSHGLG00000012497,83.2924,ortholog_one2one,1.0,1.0,3,8
ACY3,ENSG00000132744,ACY3,ENSHGLG00000015831,73.5849,ortholog_one2one,1.0,1.0,11,22
ADA,ENSG00000196839,ADA,ENSHGLG00000006097,79.6143,ortholog_one2one,1.0,1.0,20,15
ADA2,ENSG00000093072,TADA2A,ENSHGLG00000003972,89.8058,ortholog_one2one,1.0,1.0,22,20
ADAD2,ENSG00000140955,ADAD2,ENSHGLG00000014351,69.2967,ortholog_one2one,1.0,1.0,16,7
ADAM10,ENSG00000137845,ADAM10,ENSHGLG00000008761,93.5829,ortholog_one2one,1.0,1.0,15,27
ADAM11,ENSG00000073670,ADAM11,ENSHGLG00000012235,86.3793,ortholog_one2one,1.0,1.0,17,20
ADAM12,ENSG00000148848,ADAM12,ENSHGLG00000014915,79.3615,ortholog_one2one,1.0,1.0,10,13
ADAM15,ENSG00000143537,ADAM15,ENSHGLG00000018549,80.7648,ortholog_one2one,1.0,1.0,1,19
ADAM19,ENSG00000135074,ADAM19,ENSHGLG00000015559,82.1663,ortholog_one2one,1.0,1.0,5,4
ADAM2,ENSG00000104755,ADAM2,ENSHGLG00000007670,58.0247,ortholog_one2one,2.0,1.0,8,6
ADAM21,ENSG00000139985,ADAM21,ENSHGLG00000021282,73.2687,ortholog_one2one,1.0,1.0,14,26
ADAM22,ENSG00000008277,ADAM22,ENSHGLG00000004785,92.1162,ortholog_one2one,1.0,1.0,7,14
ADAM23,ENSG00000114948,ADAM23,ENSHGLG00000006393,89.5433,ortholog_one2one,1.0,1.0,2,25
ADAM28,ENSG00000042980,ADAM28,ENSHGLG00000018858,75.4839,ortholog_one2one,1.0,1.0,8,6
ADAM7,ENSG00000069206,ADAM7,ENSHGLG00000017673,69.0981,ortholog_one2one,1.0,1.0,8,6
ADAM8,ENSG00000151651,ADAM8,ENSHGLG00000041572,59.7841,ortholog_one2one,1.0,1.0,10,13
ADAM9,ENSG00000168615,ADAM9,ENSHGLG00000005367,90.232,ortholog_one2one,2.0,1.0,8,6
ADAMDEC1,ENSG00000134028,ADAMDEC1,ENSHGLG00000011872,71.855,ortholog_one2one,1.0,1.0,8,6
ADAMTS1,ENSG00000154734,ADAMTS1,ENSHGLG00000012725,86.8143,ortholog_one2one,1.0,1.0,21,2
ADAMTS10,ENSG00000142303,ADAMTS10,ENSHGLG00000012867,94.5603,ortholog_one2one,1.0,1.0,19,29
ADAMTS13,ENSG00000160323,ADAMTS13,ENSHGLG00000016856,67.9796,ortholog_one2one,2.0,1.0,9,12
ADAMTS14,ENSG00000138316,ADAMTS14,ENSHGLG00000012535,83.484,ortholog_one2one,1.0,1.0,10,13
ADAMTS15,ENSG00000166106,ADAMTS15,ENSHGLG00000007880,92.1053,ortholog_one2one,1.0,1.0,11,5
ADAMTS16,ENSG00000145536,ADAMTS16,ENSHGLG00000007184,82.2131,ortholog_one2one,1.0,1.0,5,16
ADAMTS17,ENSG00000140470,ADAMTS17,ENSHGLG00000014955,91.9635,ortholog_one2one,1.0,1.0,15,15
ADAMTS18,ENSG00000140873,ADAMTS18,ENSHGLG00000012658,89.3355,ortholog_one2one,1.0,1.0,16,7
ADAMTS19,ENSG00000145808,ADAMTS19,ENSHGLG00000015411,91.014,ortholog_one2one,1.0,1.0,5,6
ADAMTS2,ENSG00000087116,ADAMTS2,ENSHGLG00000017531,87.6151,ortholog_one2one,1.0,1.0,5,4
ADAMTS20,ENSG00000173157,ADAMTS20,ENSHGLG00000004720,73.9267,ortholog_one2one,1.0,1.0,12,17
ADAMTS4,ENSG00000158859,ADAMTS4,ENSHGLG00000009213,92.8315,ortholog_one2one,1.0,1.0,1,28
ADAMTS6,ENSG00000049192,ADAMTS6,ENSHGLG00000005305,96.6876,ortholog_one2one,1.0,1.0,5,16
ADAMTS8,ENSG00000134917,ADAMTS8,ENSHGLG00000014104,72.7784,ortholog_one2one,1.0,1.0,11,5
ADAMTS9,ENSG00000163638,ADAMTS9,ENSHGLG00000007662,83.3592,ortholog_one2one,1.0,1.0,3,9
ADAMTSL2,ENSG00000197859,ADAMTSL2,ENSHGLG00000010249,87.0662,ortholog_one2one,1.0,1.0,9,12
ADAMTSL5,ENSG00000185761,ADAMTSL5,ENSHGLG00000005884,84.2887,ortholog_one2one,1.0,1.0,19,29
ADAP1,ENSG00000105963,ADAP1,ENSHGLG00000045392,86.7232,ortholog_one2one,1.0,1.0,7,1
ADAR,ENSG00000160710,ADAR,ENSHGLG00000017910,77.3246,ortholog_one2one,1.0,1.0,1,19
ADARB1,ENSG00000197381,ADARB1,ENSHGLG00000005906,93.8865,ortholog_one2one,1.0,1.0,21,2
ADARB2,ENSG00000185736,ADARB2,ENSHGLG00000014550,85.7916,ortholog_one2one,1.0,1.0,10,9
ADAT1,ENSG00000065457,ADAT1,ENSHGLG00000037290,82.7655,ortholog_one2one,1.0,1.0,16,7
ADAT2,ENSG00000189007,ADAT2,ENSHGLG00000017251,80.2326,ortholog_one2one,1.0,1.0,6,1
ADCK1,ENSG00000063761,ADCK1,ENSHGLG00000017880,90.631,ortholog_one2one,1.0,1.0,14,26
ADCK2,ENSG00000133597,ADCK2,ENSHGLG00000037504,68.7097,ortholog_one2one,1.0,1.0,7,25
ADCK5,ENSG00000173137,ADCK5,ENSHGLG00000016852,81.3793,ortholog_one2one,2.0,1.0,8,10
ADCY1,ENSG00000164742,ADCY1,ENSHGLG00000009772,91.9065,ortholog_one2one,1.0,1.0,7,1
ADCY2,ENSG00000078295,ADCY2,ENSHGLG00000007112,89.2759,ortholog_one2one,1.0,1.0,5,16
ADCY4,ENSG00000129467,ADCY4,ENSHGLG00000001787,94.0576,ortholog_one2one,2.0,1.0,14,2
ADCY5,ENSG00000173175,ADCY5,ENSHGLG00000002391,96.5764,ortholog_one2one,1.0,1.0,3,2
ADCY6,ENSG00000174233,ADCY6,ENSHGLG00000004662,96.1473,ortholog_one2one,1.0,1.0,12,17
ADCY7,ENSG00000121281,ADCY7,ENSHGLG00000006152,86.3889,ortholog_one2one,1.0,1.0,16,7
ADCY9,ENSG00000162104,ADCY9,ENSHGLG00000048109,92.4612,ortholog_one2one,1.0,1.0,16,23
ADCYAP1,ENSG00000141433,ADCYAP1,ENSHGLG00000034296,78.4091,ortholog_one2one,1.0,1.0,18,18
ADCYAP1R1,ENSG00000078549,ADCYAP1R1,ENSHGLG00000005424,90.1709,ortholog_one2one,1.0,1.0,7,14
ADD1,ENSG00000087274,ADD1,ENSHGLG00000005103,93.4066,ortholog_one2one,1.0,1.0,4,10
ADD2,ENSG00000075340,ADD2,ENSHGLG00000015246,95.8678,ortholog_one2one,1.0,1.0,2,4
ADGRA1,ENSG00000197177,GPR123,ENSHGLG00000032504,83.5714,ortholog_one2one,1.0,1.0,10,13
ADGRA2,ENSG00000020181,ADGRA2,ENSHGLG00000003938,87.1287,ortholog_one2one,1.0,1.0,8,6
ADGRB1,ENSG00000181790,ADGRB1,ENSHGLG00000005458,93.4975,ortholog_one2one,1.0,1.0,8,10
ADGRB2,ENSG00000121753,ADGRB2,ENSHGLG00000019091,97.2678,ortholog_one2one,1.0,1.0,1,7
ADGRE3,ENSG00000131355,ENSHGLG00000035187,ENSHGLG00000035187,74.7573,ortholog_one2one,1.0,0.0,19,
ADGRF1,ENSG00000153292,ADGRF1,ENSHGLG00000019252,67.3945,ortholog_one2one,1.0,1.0,6,13
ADGRF3,ENSG00000173567,ADGRF3,ENSHGLG00000008001,66.2272,ortholog_one2one,1.0,1.0,2,4
ADGRF5,ENSG00000069122,ADGRF5,ENSHGLG00000019358,69.6137,ortholog_one2one,1.0,1.0,6,13
ADGRG1,ENSG00000205336,ADGRG1,ENSHGLG00000013378,83.2606,ortholog_one2one,1.0,1.0,16,7
ADGRG3,ENSG00000182885,ADGRG3,ENSHGLG00000010674,71.2204,ortholog_one2one,1.0,1.0,16,7
ADGRG4,ENSG00000156920,ADGRG4,ENSHGLG00000018882,69.8517,ortholog_one2one,1.0,1.0,X,X
ADGRG6,ENSG00000112414,ADGRG6,ENSHGLG00000005759,89.1936,ortholog_one2one,1.0,1.0,6,1
ADGRG7,ENSG00000144820,ADGRG7,ENSHGLG00000019585,74.7126,ortholog_one2one,1.0,1.0,3,2
ADGRL1,ENSG00000072071,ADGRL1,ENSHGLG00000011314,98.2301,ortholog_one2one,2.0,1.0,19,29
