sep=,
"HGNC ID (gene)","Approved symbol","Approved name","Previous symbols","Aliases","Chromosome","Group"
"HGNC:10377","RPLP2","ribosomal protein lateral stalk subunit P2","D11S2243E","P2,RPP2,MGC71408,LP2","11p15.5","L ribosomal proteins"
"HGNC:10332","RPL3","ribosomal protein L3","","L3,uL3","22q13.1","L ribosomal proteins"
"HGNC:10351","RPL3L","ribosomal protein L3 like","","","16p13.3","L ribosomal proteins"
"HGNC:10353","RPL4","ribosomal protein L4","","L4,uL4","15q22.31","L ribosomal proteins"
"HGNC:10360","RPL5","ribosomal protein L5","","L5,PPP1R135,uL18","1p22.1","L ribosomal proteins"
"HGNC:10362","RPL6","ribosomal protein L6","TXREB1","TAXREB107,L6,eL6","12q24.13","L ribosomal proteins"
"HGNC:10363","RPL7","ribosomal protein L7","","humL7-1,L7,uL30","8q21.11","L ribosomal proteins"
"HGNC:10364","RPL7A","ribosomal protein L7a","","SURF3,TRUP,L7A,eL8","9q34.2","L ribosomal proteins"
"HGNC:21370","RPL7L1","ribosomal protein L7 like 1","","dJ475N16.4","6p21.1","L ribosomal proteins"
"HGNC:10368","RPL8","ribosomal protein L8","","L8,uL2","8q24.3","L ribosomal proteins"
"HGNC:10369","RPL9","ribosomal protein L9","","L9,uL6","4p14","L ribosomal proteins"
"HGNC:10298","RPL10","ribosomal protein L10","","NOV,QM,DXS648E,DXS648,FLJ23544,L10,uL16","Xq28","L ribosomal proteins"
"HGNC:10299","RPL10A","ribosomal protein L10a","NEDD6","Csa-19,L10A,uL1","6p21.31","L ribosomal proteins"
"HGNC:17976","RPL10L","ribosomal protein L10 like","","","14q21.2","L ribosomal proteins"
"HGNC:10301","RPL11","ribosomal protein L11","","L11,uL5","1p36.11","L ribosomal proteins"
"HGNC:10302","RPL12","ribosomal protein L12","","L12,uL11","9q33.3","L ribosomal proteins"
"HGNC:10303","RPL13","ribosomal protein L13","","D16S444E,BBC1,L13,eL13","16q24.3","L ribosomal proteins"
"HGNC:10304","RPL13A","ribosomal protein L13a","TSTA1","L13A,uL13","19q13.33","L ribosomal proteins"
"HGNC:10305","RPL14","ribosomal protein L14","","L14,hRL14,RL14,CTG-B33,eL14","3p22.1","L ribosomal proteins"
"HGNC:10306","RPL15","ribosomal protein L15","","RPL10,RPLY10,RPYL10,EC45,L15,eL15","3p24.2","L ribosomal proteins"
"HGNC:10307","RPL17","ribosomal protein L17","","rpL23,L17,uL22","18q21.1","L ribosomal proteins"
"HGNC:10310","RPL18","ribosomal protein L18","","L18,eL18","19q13.33","L ribosomal proteins"
"HGNC:10311","RPL18A","ribosomal protein L18a","","L18A,eL20","19p13.11","L ribosomal proteins"
"HGNC:10312","RPL19","ribosomal protein L19","","FLJ27452,MGC71997,DKFZp779D216,L19,eL19","17q12","L ribosomal proteins"
"HGNC:10313","RPL21","ribosomal protein L21","","L21,FLJ27458,MGC71252,MGC104274,MGC104275,DKFZp686C06101,eL21","13q12.2","L ribosomal proteins"
"HGNC:10315","RPL22","ribosomal protein L22","","EAP,L22,eL22","1p36.31","L ribosomal proteins"
"HGNC:27610","RPL22L1","ribosomal protein L22 like 1","","","3q26.2","L ribosomal proteins"
"HGNC:10316","RPL23","ribosomal protein L23","","rpL17,L23,uL14","17q12","L ribosomal proteins"
"HGNC:10317","RPL23A","ribosomal protein L23a","","L23A,uL23","17q11.2","L ribosomal proteins"
"HGNC:10325","RPL24","ribosomal protein L24","","L24,eL24","3q12.3","L ribosomal proteins"
"HGNC:10327","RPL26","ribosomal protein L26","","L26,uL24","17p13.1","L ribosomal proteins"
"HGNC:17050","RPL26L1","ribosomal protein L26 like 1","RPL26P1","","5q35.1","L ribosomal proteins"
"HGNC:10328","RPL27","ribosomal protein L27","","L27,eL27","17q21.31","L ribosomal proteins"
"HGNC:10329","RPL27A","ribosomal protein L27a","","L27A,uL15","11p15.4","L ribosomal proteins"
"HGNC:10330","RPL28","ribosomal protein L28","","FLJ43307,L28,eL28","19q13.42","L ribosomal proteins"
"HGNC:10331","RPL29","ribosomal protein L29","RPL29P10","HIP,HUMRPL29,L29,eL29","3p21.2","L ribosomal proteins"
"HGNC:10333","RPL30","ribosomal protein L30","","L30,eL30","8q22.2","L ribosomal proteins"
"HGNC:10334","RPL31","ribosomal protein L31","","L31,eL31","2q11.2","L ribosomal proteins"
"HGNC:10336","RPL32","ribosomal protein L32","","L32,eL32","3p25.2","L ribosomal proteins"
"HGNC:10340","RPL34","ribosomal protein L34","","L34,eL34","4q25","L ribosomal proteins"
"HGNC:10344","RPL35","ribosomal protein L35","","L35,uL29","9q33.3","L ribosomal proteins"
"HGNC:10345","RPL35A","ribosomal protein L35a","","L35A,eL33,GIG33","3q29","L ribosomal proteins"
"HGNC:13631","RPL36","ribosomal protein L36","","DKFZp566B023,L36,eL36","19p13.3","L ribosomal proteins"
"HGNC:10359","RPL36A","ribosomal protein L36a","RPL44","L36A,eL42","Xq22.1","L ribosomal proteins"
"HGNC:10346","RPL36AL","ribosomal protein L36a like","RPL36A,RPL36AP42","","14q21.3","L ribosomal proteins"
"HGNC:10347","RPL37","ribosomal protein L37","","L37,eL37","5p13.1","L ribosomal proteins"
"HGNC:10348","RPL37A","ribosomal protein L37a","","L37A,eL43","2q35","L ribosomal proteins"
"HGNC:10349","RPL38","ribosomal protein L38","","L38,eL38","17q25.1","L ribosomal proteins"
"HGNC:10350","RPL39","ribosomal protein L39","RPL39P42","L39,eL39","Xq24","L ribosomal proteins"
"HGNC:17094","RPL39L","ribosomal protein L39 like","RPL39L1","","3q27.3","L ribosomal proteins"
"HGNC:12458","UBA52","ubiquitin A-52 residue ribosomal protein fusion product 1","","RPL40,CEP52,HUBCEP52,MGC57125,MGC126879,MGC126881,L40","19p13.1-p12","L ribosomal proteins"
"HGNC:10354","RPL41","ribosomal protein L41","","L41,eL41","12q13","L ribosomal proteins"
"HGNC:14275","MRPL1","mitochondrial ribosomal protein L1","","BM022,uL1m","4q21.1","Mitochondrial ribosomal proteins"
"HGNC:14056","MRPL2","mitochondrial ribosomal protein L2","","MRP-L14,RPML14,CGI-22,uL2m","6p21.1","Mitochondrial ribosomal proteins"
"HGNC:10379","MRPL3","mitochondrial ribosomal protein L3","RPML3","MRL3,uL3m","3q22.1","Mitochondrial ribosomal proteins"
"HGNC:14276","MRPL4","mitochondrial ribosomal protein L4","","CGI-28,uL4m","19p13.2","Mitochondrial ribosomal proteins"
"HGNC:14277","MRPL9","mitochondrial ribosomal protein L9","","bL9m","1q21.3","Mitochondrial ribosomal proteins"
"HGNC:14055","MRPL10","mitochondrial ribosomal protein L10","","RPML8,MRP-L8,L10MT,MRP-L10,MRPL8,MGC17973,uL10m","17q21.32","Mitochondrial ribosomal proteins"
"HGNC:14042","MRPL11","mitochondrial ribosomal protein L11","","uL11m","11q13.2","Mitochondrial ribosomal proteins"
"HGNC:10378","MRPL12","mitochondrial ribosomal protein L12","RPML12","MRPL7/L12,MRPL7,bL12m","17q25.3","Mitochondrial ribosomal proteins"
"HGNC:14278","MRPL13","mitochondrial ribosomal protein L13","","L13,RPL13,L13mt,RPML13,L13A,uL13m","8q24.12","Mitochondrial ribosomal proteins"
"HGNC:14279","MRPL14","mitochondrial ribosomal protein L14","","RPML32,MRP-L32,uL14m","6p21.1","Mitochondrial ribosomal proteins"
"HGNC:14054","MRPL15","mitochondrial ribosomal protein L15","","RPML7,MRP-L7,HSPC145,L15mt,MRP-L15,uL15m","8q11.23","Mitochondrial ribosomal proteins"
"HGNC:14476","MRPL16","mitochondrial ribosomal protein L16","","FLJ20484,PNAS-111,uL16m","11q12.1","Mitochondrial ribosomal proteins"
"HGNC:14053","MRPL17","mitochondrial ribosomal protein L17","","RPML26,MRP-L26,bL17m","11p15.4","Mitochondrial ribosomal proteins"
"HGNC:14477","MRPL18","mitochondrial ribosomal protein L18","","HSPC071,uL18m","6q25.3","Mitochondrial ribosomal proteins"
"HGNC:14052","MRPL19","mitochondrial ribosomal protein L19","","MRP-L15,RPML15,KIAA0104,RLX1,bL19m","2p12","Mitochondrial ribosomal proteins"
"HGNC:14478","MRPL20","mitochondrial ribosomal protein L20","","FLJ10024,bL20m","1p36.33","Mitochondrial ribosomal proteins"
"HGNC:14479","MRPL21","mitochondrial ribosomal protein L21","","bL21m","11q13.3","Mitochondrial ribosomal proteins"
"HGNC:14480","MRPL22","mitochondrial ribosomal protein L22","","MRP-L25,RPML25,HSPC158,uL22m","5q33.2","Mitochondrial ribosomal proteins"
"HGNC:10322","MRPL23","mitochondrial ribosomal protein L23","RPL23L","L23MRP,uL23m","11p15.5","Mitochondrial ribosomal proteins"
"HGNC:14037","MRPL24","mitochondrial ribosomal protein L24","","MRP-L18,uL24m","1q23.1","Mitochondrial ribosomal proteins"
"HGNC:14483","MRPL27","mitochondrial ribosomal protein L27","","bL27m","17q21.33","Mitochondrial ribosomal proteins"
"HGNC:14484","MRPL28","mitochondrial ribosomal protein L28","MAAT1","p15,bL28m","16p13.3","Mitochondrial ribosomal proteins"
"HGNC:14036","MRPL30","mitochondrial ribosomal protein L30","","MRP-L28,RPML28,uL30m","2q11.2","Mitochondrial ribosomal proteins"
"HGNC:14035","MRPL32","mitochondrial ribosomal protein L32","","HSPC283,L32mt,MRP-L32,bMRP-59b,bL32m","7p14.1","Mitochondrial ribosomal proteins"
"HGNC:14487","MRPL33","mitochondrial ribosomal protein L33","C2orf1","RPL33L,bL33m","2p23.2","Mitochondrial ribosomal proteins"
"HGNC:14488","MRPL34","mitochondrial ribosomal protein L34","","L34mt,MGC2633,MGC24974,bL34m","19p13.11","Mitochondrial ribosomal proteins"
"HGNC:14489","MRPL35","mitochondrial ribosomal protein L35","","bL35m","2p11.2","Mitochondrial ribosomal proteins"
"HGNC:14490","MRPL36","mitochondrial ribosomal protein L36","","RPMJ,L36mt,PRPL36,MRP-L36,bL36m","5p15.33","Mitochondrial ribosomal proteins"
"HGNC:14034","MRPL37","mitochondrial ribosomal protein L37","","RPML2,MRP-L2,mL37","1p32.3","Mitochondrial ribosomal proteins"
"HGNC:14033","MRPL38","mitochondrial ribosomal protein L38","","RPML3,MRP-L3,HSPC262,MGC4810,mL38","17q25.1","Mitochondrial ribosomal proteins"
"HGNC:14027","MRPL39","mitochondrial ribosomal protein L39","","RPML5,MRP-L5,MGC104174,PRED66,PRED22,C21orf92,L39mt,MSTP003,MGC3400,FLJ20451,mL39","21q21.3","Mitochondrial ribosomal proteins"
"HGNC:14491","MRPL40","mitochondrial ribosomal protein L40","NLVCF","MRP-L22,mL40","22q11.21","Mitochondrial ribosomal proteins"
"HGNC:14492","MRPL41","mitochondrial ribosomal protein L41","","MRP-L27,RPML27,BMRP,PIG3,MRPL27,mL41","9q34.3","Mitochondrial ribosomal proteins"
"HGNC:14493","MRPL42","mitochondrial ribosomal protein L42","","MRPS32,MRP-L31,RPML31,PTD007,HSPC204,MRPL31,mL42","12q22","Mitochondrial ribosomal proteins"
"HGNC:14517","MRPL43","mitochondrial ribosomal protein L43","","bMRP36a,mL43","10q24.31","Mitochondrial ribosomal proteins"
"HGNC:16650","MRPL44","mitochondrial ribosomal protein L44","","FLJ12701,FLJ13990,mL44","2q36.1","Mitochondrial ribosomal proteins"
"HGNC:16651","MRPL45","mitochondrial ribosomal protein L45","","MGC11321,Mba1,mL45","17q12","Mitochondrial ribosomal proteins"
"HGNC:1192","MRPL46","mitochondrial ribosomal protein L46","C15orf4","LIECG2,P2ECSL,mL46","15q25.3","Mitochondrial ribosomal proteins"
"HGNC:16652","MRPL47","mitochondrial ribosomal protein L47","","CGI-204,NCM1,uL29m","3q26.33","Mitochondrial ribosomal proteins"
"HGNC:16653","MRPL48","mitochondrial ribosomal protein L48","","CGI-118,mL48","11q13.4","Mitochondrial ribosomal proteins"
"HGNC:1176","MRPL49","mitochondrial ribosomal protein L49","C11orf4","NOF,NOF1,L49mt,mL49","11q13.1","Mitochondrial ribosomal proteins"
"HGNC:16654","MRPL50","mitochondrial ribosomal protein L50","","FLJ20493,MRP-L50,mL50","9q31.1","Mitochondrial ribosomal proteins"
"HGNC:14044","MRPL51","mitochondrial ribosomal protein L51","MRP64","CDA09,HSPC241,bMRP64,mL51","12p13.31","Mitochondrial ribosomal proteins"
"HGNC:16655","MRPL52","mitochondrial ribosomal protein L52","","mL52","14q11.2","Mitochondrial ribosomal proteins"
"HGNC:16684","MRPL53","mitochondrial ribosomal protein L53","","mL53","2p13.1","Mitochondrial ribosomal proteins"
"HGNC:16685","MRPL54","mitochondrial ribosomal protein L54","","mL54","19p13.3","Mitochondrial ribosomal proteins"
"HGNC:16686","MRPL55","mitochondrial ribosomal protein L55","","bL31m","1q42.13","Mitochondrial ribosomal proteins"
"HGNC:5359","MRPL58","mitochondrial ribosomal protein L58","ICT1","DS-1,mL62","17q25.1","Mitochondrial ribosomal proteins"
"HGNC:14514","MRPL57","mitochondrial ribosomal protein L57","MRP63","mL63","13q12.11","Mitochondrial ribosomal proteins"
"HGNC:29996","GADD45GIP1","GADD45G interacting protein 1","","PLINP-1,MGC4667,MGC4758,CKBBP2,PRG6,Plinp1,CRIF1,CKbetaBP2,mL64","19p13.13","Mitochondrial ribosomal proteins"
"HGNC:8769","MRPS30","mitochondrial ribosomal protein S30","PDCD9","PAP,mL65","5p12","Mitochondrial ribosomal proteins"
"HGNC:14515","MRPS18A","mitochondrial ribosomal protein S18A","","FLJ10548,MRPS18-3,mL66","6p21.1","Mitochondrial ribosomal proteins"
"HGNC:14495","MRPS2","mitochondrial ribosomal protein S2","","CGI-91,uS2m","9q34.3","Mitochondrial ribosomal proteins"
"HGNC:14498","MRPS5","mitochondrial ribosomal protein S5","","MRP-S5,S5mt,uS5m","2q11.1","Mitochondrial ribosomal proteins"
"HGNC:14051","MRPS6","mitochondrial ribosomal protein S6","C21orf101","MRP-S6,RPMS6,bS6m","21q22.11","Mitochondrial ribosomal proteins"
"HGNC:14499","MRPS7","mitochondrial ribosomal protein S7","","MRP-S,RP-S7,RPMS7,uS7m","17q25.1","Mitochondrial ribosomal proteins"
"HGNC:14501","MRPS9","mitochondrial ribosomal protein S9","","RPMS9,MRP-S9,S9mt,uS9m","2q12.1","Mitochondrial ribosomal proteins"
"HGNC:14502","MRPS10","mitochondrial ribosomal protein S10","","FLJ10567,uS10m","6p21.1","Mitochondrial ribosomal proteins"
"HGNC:14050","MRPS11","mitochondrial ribosomal protein S11","","FLJ23406,HCC-2,FLJ22512,uS11m","15q25.3","Mitochondrial ribosomal proteins"
"HGNC:10380","MRPS12","mitochondrial ribosomal protein S12","RPMS12","RPS12,RPSM12,uS12m","19q13.2","Mitochondrial ribosomal proteins"
"HGNC:14049","MRPS14","mitochondrial ribosomal protein S14","","HSMRPS14,uS14m","1q25.1","Mitochondrial ribosomal proteins"
"HGNC:14504","MRPS15","mitochondrial ribosomal protein S15","","FLJ11564,uS15m","1p34.3","Mitochondrial ribosomal proteins"
"HGNC:14048","MRPS16","mitochondrial ribosomal protein S16","","CGI-132,bS16m","10q22.2","Mitochondrial ribosomal proteins"
"HGNC:14047","MRPS17","mitochondrial ribosomal protein S17","","HSPC011,RPMS17,MRP-S17,uS17m","7p11.2","Mitochondrial ribosomal proteins"
"HGNC:16633","MRPS18C","mitochondrial ribosomal protein S18C","","MRPS18-1,CGI-134,FLJ11146,FLJ22967,bS18m","4q21.23","Mitochondrial ribosomal proteins"
"HGNC:14046","MRPS21","mitochondrial ribosomal protein S21","","bS21m","1q21.2","Mitochondrial ribosomal proteins"
"HGNC:14508","MRPS22","mitochondrial ribosomal protein S22","","MRP-S22,GK002,C3orf5,GIBT,mS22","3q23","Mitochondrial ribosomal proteins"
"HGNC:14509","MRPS23","mitochondrial ribosomal protein S23","","MRP-S23,CGI-138,HSPC329,mS23","17q22","Mitochondrial ribosomal proteins"
"HGNC:14510","MRPS24","mitochondrial ribosomal protein S24","","MRP-S24,HSPC335","7p13","Mitochondrial ribosomal proteins"
"HGNC:14511","MRPS25","mitochondrial ribosomal protein S25","","MRP-S25,FLJ00023,DKFZp313H0817,RPMS25,mS25","3p25.1","Mitochondrial ribosomal proteins"
"HGNC:14045","MRPS26","mitochondrial ribosomal protein S26","C20orf193","MRP-S13,MRP-S26,RPMS13,dJ534B8.3,mS26","20p13","Mitochondrial ribosomal proteins"
"HGNC:14512","MRPS27","mitochondrial ribosomal protein S27","","KIAA0264,mS27","5q13.2","Mitochondrial ribosomal proteins"
"HGNC:14513","MRPS28","mitochondrial ribosomal protein S28","","MRP-S28,HSPC007,MRPS35","8q21.13","Mitochondrial ribosomal proteins"
"HGNC:2673","DAP3","death associated protein 3","","MRPS29,DAP-3,MRP-S29,bMRP-10,MGC126058,MGC126059,DKFZp686G12159,mS29","1q22","Mitochondrial ribosomal proteins"
"HGNC:16632","MRPS31","mitochondrial ribosomal protein S31","","IMOGN38,mS31","13q14.11","Mitochondrial ribosomal proteins"
"HGNC:16634","MRPS33","mitochondrial ribosomal protein S33","","CGI-139,mS33","7q34","Mitochondrial ribosomal proteins"
"HGNC:16618","MRPS34","mitochondrial ribosomal protein S34","","MRP-S12,MGC2616,mS34","16p13.3","Mitochondrial ribosomal proteins"
"HGNC:16635","MRPS35","mitochondrial ribosomal protein S35","","MRPS28,MDS023,mS35","12p11.22","Mitochondrial ribosomal proteins"
"HGNC:23518","CHCHD1","coiled-coil-helix-coiled-coil-helix domain containing 1","C10orf34","FLJ25854,mS37","10q22.2","Mitochondrial ribosomal proteins"
"HGNC:24114","AURKAIP1","aurora kinase A interacting protein 1","","AKIP,AIP,FLJ20608,mS38","1p36.33","Mitochondrial ribosomal proteins"
"HGNC:24717","PTCD3","pentatricopeptide repeat domain 3","","FLJ20758,DKFZp666K071,mS39","2p11.2","Mitochondrial ribosomal proteins"
"HGNC:14516","MRPS18B","mitochondrial ribosomal protein S18B","","MRPS18-2,PTD017,C6orf14,HSPC183,mS40","6p21.33","Mitochondrial ribosomal proteins"
"HGNC:14495","MRPS2","mitochondrial ribosomal protein S2","","CGI-91,uS2m","9q34.3","Small subunit mitochondrial ribosomal proteins"
"HGNC:14502","MRPS10","mitochondrial ribosomal protein S10","","FLJ10567,uS10m","6p21.1","Small subunit mitochondrial ribosomal proteins"
"HGNC:14050","MRPS11","mitochondrial ribosomal protein S11","","FLJ23406,HCC-2,FLJ22512,uS11m","15q25.3","Small subunit mitochondrial ribosomal proteins"
"HGNC:10380","MRPS12","mitochondrial ribosomal protein S12","RPMS12","RPS12,RPSM12,uS12m","19q13.2","Small subunit mitochondrial ribosomal proteins"
"HGNC:14049","MRPS14","mitochondrial ribosomal protein S14","","HSMRPS14,uS14m","1q25.1","Small subunit mitochondrial ribosomal proteins"
"HGNC:14504","MRPS15","mitochondrial ribosomal protein S15","","FLJ11564,uS15m","1p34.3","Small subunit mitochondrial ribosomal proteins"
"HGNC:14048","MRPS16","mitochondrial ribosomal protein S16","","CGI-132,bS16m","10q22.2","Small subunit mitochondrial ribosomal proteins"
"HGNC:14047","MRPS17","mitochondrial ribosomal protein S17","","HSPC011,RPMS17,MRP-S17,uS17m","7p11.2","Small subunit mitochondrial ribosomal proteins"
"HGNC:16633","MRPS18C","mitochondrial ribosomal protein S18C","","MRPS18-1,CGI-134,FLJ11146,FLJ22967,bS18m","4q21.23","Small subunit mitochondrial ribosomal proteins"
"HGNC:14046","MRPS21","mitochondrial ribosomal protein S21","","bS21m","1q21.2","Small subunit mitochondrial ribosomal proteins"
